lap,laps_remaining,tire_age,compound,is_soft,is_medium,is_hard,expected_lap_time,pit
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,1
1,57,0,SOFT,1,0,0,83.92150000000001,0
2,56,1,SOFT,1,0,0,84.4405,0
3,55,2,SOFT,1,0,0,83.84,0
4,54,3,SOFT,1,0,0,83.912,0
5,53,4,SOFT,1,0,0,83.752,1
5,53,0,HARD,0,0,1,82.6943275862069,0
6,52,1,HARD,0,0,1,89.8065,0
7,51,2,HARD,0,0,1,82.7645,0
8,50,3,HARD,0,0,1,82.57300000000001,0
9,49,4,HARD,0,0,1,82.581,0
10,48,5,HARD,0,0,1,82.663,0
11,47,6,HARD,0,0,1,82.767,0
12,46,7,HARD,0,0,1,82.221,0
13,45,8,HARD,0,0,1,82.759,0
14,44,9,HARD,0,0,1,81.8815,0
15,43,10,HARD,0,0,1,81.67699999999999,0
16,42,11,HARD,0,0,1,81.583,0
17,41,12,HARD,0,0,1,81.713,0
18,40,13,HARD,0,0,1,81.74,0
19,39,14,HARD,0,0,1,81.976,0
20,38,15,HARD,0,0,1,81.837,0
21,37,16,HARD,0,0,1,81.951,0
22,36,17,HARD,0,0,1,82.06,0
23,35,18,HARD,0,0,1,82.1065,0
24,34,19,HARD,0,0,1,82.229,0
25,33,20,HARD,0,0,1,82.697,0
26,32,21,HARD,0,0,1,82.947,0
27,31,22,HARD,0,0,1,83.007,0
28,30,23,HARD,0,0,1,82.706,0
29,29,24,HARD,0,0,1,82.8035,1
29,29,0,HARD,0,0,1,82.6943275862069,0
30,28,1,HARD,0,0,1,89.8065,0
31,27,2,HARD,0,0,1,82.7645,0
32,26,3,HARD,0,0,1,82.57300000000001,0
33,25,4,HARD,0,0,1,82.581,0
34,24,5,HARD,0,0,1,82.663,0
35,23,6,HARD,0,0,1,82.767,0
36,22,7,HARD,0,0,1,82.221,0
37,21,8,HARD,0,0,1,82.759,0
38,20,9,HARD,0,0,1,81.8815,0
39,19,10,HARD,0,0,1,81.67699999999999,0
40,18,11,HARD,0,0,1,81.583,0
41,17,12,HARD,0,0,1,81.713,0
42,16,13,HARD,0,0,1,81.74,0
43,15,14,HARD,0,0,1,81.976,0
44,14,15,HARD,0,0,1,81.837,0
45,13,16,HARD,0,0,1,81.951,0
46,12,17,HARD,0,0,1,82.06,0
47,11,18,HARD,0,0,1,82.1065,0
48,10,19,HARD,0,0,1,82.229,0
49,9,20,HARD,0,0,1,82.697,0
50,8,21,HARD,0,0,1,82.947,0
51,7,22,HARD,0,0,1,83.007,0
52,6,23,HARD,0,0,1,82.706,0
53,5,24,HARD,0,0,1,82.8035,0
54,4,25,HARD,0,0,1,82.989,0
55,3,26,HARD,0,0,1,83.04599999999999,0
56,2,27,HARD,0,0,1,83.446,0
57,1,28,HARD,0,0,1,82.537,1
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,0
10,48,9,MEDIUM,0,1,0,82.7015,0
11,47,10,MEDIUM,0,1,0,82.962,0
12,46,11,MEDIUM,0,1,0,83.2975,0
13,45,12,MEDIUM,0,1,0,83.16,0
14,44,13,MEDIUM,0,1,0,83.14475,1
14,44,1,HARD,0,0,1,89.8065,0
15,43,2,HARD,0,0,1,82.7645,0
16,42,3,HARD,0,0,1,82.57300000000001,0
17,41,4,HARD,0,0,1,82.581,0
18,40,5,HARD,0,0,1,82.663,0
19,39,6,HARD,0,0,1,82.767,0
20,38,7,HARD,0,0,1,82.221,0
21,37,8,HARD,0,0,1,82.759,0
22,36,9,HARD,0,0,1,81.8815,0
23,35,10,HARD,0,0,1,81.67699999999999,0
24,34,11,HARD,0,0,1,81.583,0
25,33,12,HARD,0,0,1,81.713,0
26,32,13,HARD,0,0,1,81.74,0
27,31,14,HARD,0,0,1,81.976,0
28,30,15,HARD,0,0,1,81.837,0
29,29,16,HARD,0,0,1,81.951,0
30,28,17,HARD,0,0,1,82.06,0
31,27,18,HARD,0,0,1,82.1065,0
32,26,19,HARD,0,0,1,82.229,0
33,25,20,HARD,0,0,1,82.697,0
34,24,21,HARD,0,0,1,82.947,0
35,23,22,HARD,0,0,1,83.007,0
36,22,23,HARD,0,0,1,82.706,0
37,21,24,HARD,0,0,1,82.8035,0
38,20,25,HARD,0,0,1,82.989,0
39,19,26,HARD,0,0,1,83.04599999999999,0
40,18,27,HARD,0,0,1,83.446,1
40,18,1,HARD,0,0,1,89.8065,0
41,17,2,HARD,0,0,1,82.7645,0
42,16,3,HARD,0,0,1,82.57300000000001,0
43,15,4,HARD,0,0,1,82.581,0
44,14,5,HARD,0,0,1,82.663,0
45,13,6,HARD,0,0,1,82.767,0
46,12,7,HARD,0,0,1,82.221,0
47,11,8,HARD,0,0,1,82.759,0
48,10,9,HARD,0,0,1,81.8815,0
49,9,10,HARD,0,0,1,81.67699999999999,0
50,8,11,HARD,0,0,1,81.583,0
51,7,12,HARD,0,0,1,81.713,0
52,6,13,HARD,0,0,1,81.74,0
53,5,14,HARD,0,0,1,81.976,0
54,4,15,HARD,0,0,1,81.837,0
55,3,16,HARD,0,0,1,81.951,0
56,2,17,HARD,0,0,1,82.06,0
57,1,18,HARD,0,0,1,82.1065,0
58,0,19,HARD,0,0,1,82.229,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,0
10,48,9,MEDIUM,0,1,0,82.7015,0
11,47,10,MEDIUM,0,1,0,82.962,0
12,46,11,MEDIUM,0,1,0,83.2975,0
13,45,12,MEDIUM,0,1,0,83.16,0
14,44,13,MEDIUM,0,1,0,83.14475,0
15,43,14,MEDIUM,0,1,0,83.14475,0
16,42,15,MEDIUM,0,1,0,83.14475,0
17,41,16,MEDIUM,0,1,0,83.14475,1
17,41,0,HARD,0,0,1,82.6943275862069,0
18,40,1,HARD,0,0,1,89.8065,0
19,39,2,HARD,0,0,1,82.7645,0
20,38,3,HARD,0,0,1,82.57300000000001,0
21,37,4,HARD,0,0,1,82.581,0
22,36,5,HARD,0,0,1,82.663,0
23,35,6,HARD,0,0,1,82.767,0
24,34,7,HARD,0,0,1,82.221,0
25,33,8,HARD,0,0,1,82.759,0
26,32,9,HARD,0,0,1,81.8815,0
27,31,10,HARD,0,0,1,81.67699999999999,0
28,30,11,HARD,0,0,1,81.583,0
29,29,12,HARD,0,0,1,81.713,0
30,28,13,HARD,0,0,1,81.74,0
31,27,14,HARD,0,0,1,81.976,0
32,26,15,HARD,0,0,1,81.837,0
33,25,16,HARD,0,0,1,81.951,0
34,24,17,HARD,0,0,1,82.06,0
35,23,18,HARD,0,0,1,82.1065,0
36,22,19,HARD,0,0,1,82.229,0
37,21,20,HARD,0,0,1,82.697,0
38,20,21,HARD,0,0,1,82.947,0
39,19,22,HARD,0,0,1,83.007,0
40,18,23,HARD,0,0,1,82.706,0
41,17,24,HARD,0,0,1,82.8035,1
41,17,0,HARD,0,0,1,82.6943275862069,0
42,16,1,HARD,0,0,1,89.8065,0
43,15,2,HARD,0,0,1,82.7645,0
44,14,3,HARD,0,0,1,82.57300000000001,0
45,13,4,HARD,0,0,1,82.581,0
46,12,5,HARD,0,0,1,82.663,0
47,11,6,HARD,0,0,1,82.767,0
48,10,7,HARD,0,0,1,82.221,0
49,9,8,HARD,0,0,1,82.759,0
50,8,9,HARD,0,0,1,81.8815,0
51,7,10,HARD,0,0,1,81.67699999999999,0
52,6,11,HARD,0,0,1,81.583,0
53,5,12,HARD,0,0,1,81.713,0
54,4,13,HARD,0,0,1,81.74,0
55,3,14,HARD,0,0,1,81.976,0
56,2,15,HARD,0,0,1,81.837,0
57,1,16,HARD,0,0,1,81.951,1
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,0
10,48,9,MEDIUM,0,1,0,82.7015,0
11,47,10,MEDIUM,0,1,0,82.962,0
12,46,11,MEDIUM,0,1,0,83.2975,0
13,45,12,MEDIUM,0,1,0,83.16,0
14,44,13,MEDIUM,0,1,0,83.14475,1
14,44,0,HARD,0,0,1,82.6943275862069,0
15,43,1,HARD,0,0,1,89.8065,0
16,42,2,HARD,0,0,1,82.7645,0
17,41,3,HARD,0,0,1,82.57300000000001,0
18,40,4,HARD,0,0,1,82.581,0
19,39,5,HARD,0,0,1,82.663,0
20,38,6,HARD,0,0,1,82.767,0
21,37,7,HARD,0,0,1,82.221,0
22,36,8,HARD,0,0,1,82.759,0
23,35,9,HARD,0,0,1,81.8815,0
24,34,10,HARD,0,0,1,81.67699999999999,0
25,33,11,HARD,0,0,1,81.583,0
26,32,12,HARD,0,0,1,81.713,0
27,31,13,HARD,0,0,1,81.74,0
28,30,14,HARD,0,0,1,81.976,0
29,29,15,HARD,0,0,1,81.837,0
30,28,16,HARD,0,0,1,81.951,0
31,27,17,HARD,0,0,1,82.06,0
32,26,18,HARD,0,0,1,82.1065,0
33,25,19,HARD,0,0,1,82.229,0
34,24,20,HARD,0,0,1,82.697,0
35,23,21,HARD,0,0,1,82.947,1
35,23,0,HARD,0,0,1,82.6943275862069,0
36,22,1,HARD,0,0,1,89.8065,0
37,21,2,HARD,0,0,1,82.7645,0
38,20,3,HARD,0,0,1,82.57300000000001,0
39,19,4,HARD,0,0,1,82.581,0
40,18,5,HARD,0,0,1,82.663,0
41,17,6,HARD,0,0,1,82.767,0
42,16,7,HARD,0,0,1,82.221,0
43,15,8,HARD,0,0,1,82.759,0
44,14,9,HARD,0,0,1,81.8815,0
45,13,10,HARD,0,0,1,81.67699999999999,0
46,12,11,HARD,0,0,1,81.583,0
47,11,12,HARD,0,0,1,81.713,0
48,10,13,HARD,0,0,1,81.74,0
49,9,14,HARD,0,0,1,81.976,0
50,8,15,HARD,0,0,1,81.837,0
51,7,16,HARD,0,0,1,81.951,0
52,6,17,HARD,0,0,1,82.06,0
53,5,18,HARD,0,0,1,82.1065,0
54,4,19,HARD,0,0,1,82.229,0
55,3,20,HARD,0,0,1,82.697,0
56,2,21,HARD,0,0,1,82.947,0
57,1,22,HARD,0,0,1,83.007,0
58,0,23,HARD,0,0,1,82.706,0
1,57,1,HARD,0,0,1,89.8065,0
2,56,2,HARD,0,0,1,82.7645,0
3,55,3,HARD,0,0,1,82.57300000000001,0
4,54,4,HARD,0,0,1,82.581,0
5,53,5,HARD,0,0,1,82.663,0
6,52,6,HARD,0,0,1,82.767,0
7,51,7,HARD,0,0,1,82.221,0
8,50,8,HARD,0,0,1,82.759,0
9,49,9,HARD,0,0,1,81.8815,0
10,48,10,HARD,0,0,1,81.67699999999999,0
11,47,11,HARD,0,0,1,81.583,0
12,46,12,HARD,0,0,1,81.713,0
13,45,13,HARD,0,0,1,81.74,0
14,44,14,HARD,0,0,1,81.976,0
15,43,15,HARD,0,0,1,81.837,0
16,42,16,HARD,0,0,1,81.951,0
17,41,17,HARD,0,0,1,82.06,1
17,41,1,MEDIUM,0,1,0,83.953,0
18,40,2,MEDIUM,0,1,0,83.165,0
19,39,3,MEDIUM,0,1,0,83.272,0
20,38,4,MEDIUM,0,1,0,83.31,0
21,37,5,MEDIUM,0,1,0,83.119,0
22,36,6,MEDIUM,0,1,0,82.804,0
23,35,7,MEDIUM,0,1,0,83.019,0
24,34,8,MEDIUM,0,1,0,82.974,0
25,33,9,MEDIUM,0,1,0,82.7015,0
26,32,10,MEDIUM,0,1,0,82.962,0
27,31,11,MEDIUM,0,1,0,83.2975,0
28,30,12,MEDIUM,0,1,0,83.16,0
29,29,13,MEDIUM,0,1,0,83.14475,0
30,28,14,MEDIUM,0,1,0,83.14475,0
31,27,15,MEDIUM,0,1,0,83.14475,0
32,26,16,MEDIUM,0,1,0,83.14475,0
33,25,17,MEDIUM,0,1,0,83.14475,0
34,24,18,MEDIUM,0,1,0,83.14475,0
35,23,19,MEDIUM,0,1,0,83.14475,0
36,22,20,MEDIUM,0,1,0,83.14475,0
37,21,21,MEDIUM,0,1,0,83.14475,0
38,20,22,MEDIUM,0,1,0,83.14475,0
39,19,23,MEDIUM,0,1,0,83.14475,0
40,18,24,MEDIUM,0,1,0,83.14475,0
41,17,25,MEDIUM,0,1,0,83.14475,1
41,17,1,HARD,0,0,1,89.8065,0
42,16,2,HARD,0,0,1,82.7645,0
43,15,3,HARD,0,0,1,82.57300000000001,0
44,14,4,HARD,0,0,1,82.581,0
45,13,5,HARD,0,0,1,82.663,0
46,12,6,HARD,0,0,1,82.767,0
47,11,7,HARD,0,0,1,82.221,0
48,10,8,HARD,0,0,1,82.759,0
49,9,9,HARD,0,0,1,81.8815,0
50,8,10,HARD,0,0,1,81.67699999999999,0
51,7,11,HARD,0,0,1,81.583,0
52,6,12,HARD,0,0,1,81.713,0
53,5,13,HARD,0,0,1,81.74,0
54,4,14,HARD,0,0,1,81.976,0
55,3,15,HARD,0,0,1,81.837,0
56,2,16,HARD,0,0,1,81.951,0
57,1,17,HARD,0,0,1,82.06,0
58,0,18,HARD,0,0,1,82.1065,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,1
9,49,0,HARD,0,0,1,82.6943275862069,0
10,48,1,HARD,0,0,1,89.8065,0
11,47,2,HARD,0,0,1,82.7645,0
12,46,3,HARD,0,0,1,82.57300000000001,0
13,45,4,HARD,0,0,1,82.581,0
14,44,5,HARD,0,0,1,82.663,0
15,43,6,HARD,0,0,1,82.767,0
16,42,7,HARD,0,0,1,82.221,0
17,41,8,HARD,0,0,1,82.759,0
18,40,9,HARD,0,0,1,81.8815,0
19,39,10,HARD,0,0,1,81.67699999999999,0
20,38,11,HARD,0,0,1,81.583,0
21,37,12,HARD,0,0,1,81.713,0
22,36,13,HARD,0,0,1,81.74,0
23,35,14,HARD,0,0,1,81.976,0
24,34,15,HARD,0,0,1,81.837,0
25,33,16,HARD,0,0,1,81.951,0
26,32,17,HARD,0,0,1,82.06,0
27,31,18,HARD,0,0,1,82.1065,0
28,30,19,HARD,0,0,1,82.229,0
29,29,20,HARD,0,0,1,82.697,0
30,28,21,HARD,0,0,1,82.947,0
31,27,22,HARD,0,0,1,83.007,0
32,26,23,HARD,0,0,1,82.706,0
33,25,24,HARD,0,0,1,82.8035,0
34,24,25,HARD,0,0,1,82.989,1
34,24,0,HARD,0,0,1,82.6943275862069,0
35,23,1,HARD,0,0,1,89.8065,0
36,22,2,HARD,0,0,1,82.7645,0
37,21,3,HARD,0,0,1,82.57300000000001,0
38,20,4,HARD,0,0,1,82.581,0
39,19,5,HARD,0,0,1,82.663,0
40,18,6,HARD,0,0,1,82.767,0
41,17,7,HARD,0,0,1,82.221,0
42,16,8,HARD,0,0,1,82.759,0
43,15,9,HARD,0,0,1,81.8815,0
44,14,10,HARD,0,0,1,81.67699999999999,0
45,13,11,HARD,0,0,1,81.583,0
46,12,12,HARD,0,0,1,81.713,0
47,11,13,HARD,0,0,1,81.74,0
48,10,14,HARD,0,0,1,81.976,0
49,9,15,HARD,0,0,1,81.837,0
50,8,16,HARD,0,0,1,81.951,0
51,7,17,HARD,0,0,1,82.06,0
52,6,18,HARD,0,0,1,82.1065,0
53,5,19,HARD,0,0,1,82.229,0
54,4,20,HARD,0,0,1,82.697,0
55,3,21,HARD,0,0,1,82.947,0
56,2,22,HARD,0,0,1,83.007,0
57,1,23,HARD,0,0,1,82.706,0
58,0,24,HARD,0,0,1,82.8035,0
1,57,1,MEDIUM,0,1,0,83.953,0
2,56,2,MEDIUM,0,1,0,83.165,0
3,55,3,MEDIUM,0,1,0,83.272,0
4,54,4,MEDIUM,0,1,0,83.31,0
5,53,5,MEDIUM,0,1,0,83.119,0
6,52,6,MEDIUM,0,1,0,82.804,0
7,51,7,MEDIUM,0,1,0,83.019,0
8,50,8,MEDIUM,0,1,0,82.974,1
8,50,1,HARD,0,0,1,89.8065,0
9,49,2,HARD,0,0,1,82.7645,0
10,48,3,HARD,0,0,1,82.57300000000001,0
11,47,4,HARD,0,0,1,82.581,0
12,46,5,HARD,0,0,1,82.663,0
13,45,6,HARD,0,0,1,82.767,0
14,44,7,HARD,0,0,1,82.221,0
15,43,8,HARD,0,0,1,82.759,0
16,42,9,HARD,0,0,1,81.8815,0
17,41,10,HARD,0,0,1,81.67699999999999,0
18,40,11,HARD,0,0,1,81.583,0
19,39,12,HARD,0,0,1,81.713,0
20,38,13,HARD,0,0,1,81.74,0
21,37,14,HARD,0,0,1,81.976,0
22,36,15,HARD,0,0,1,81.837,0
23,35,16,HARD,0,0,1,81.951,0
24,34,17,HARD,0,0,1,82.06,0
25,33,18,HARD,0,0,1,82.1065,0
26,32,19,HARD,0,0,1,82.229,0
27,31,20,HARD,0,0,1,82.697,0
28,30,21,HARD,0,0,1,82.947,0
29,29,22,HARD,0,0,1,83.007,0
30,28,23,HARD,0,0,1,82.706,0
31,27,24,HARD,0,0,1,82.8035,0
32,26,25,HARD,0,0,1,82.989,0
33,25,26,HARD,0,0,1,83.04599999999999,0
34,24,27,HARD,0,0,1,83.446,0
35,23,28,HARD,0,0,1,82.537,0
36,22,29,HARD,0,0,1,83.068,0
37,21,30,HARD,0,0,1,82.6943275862069,1
37,21,0,HARD,0,0,1,82.6943275862069,0
38,20,1,HARD,0,0,1,89.8065,0
39,19,2,HARD,0,0,1,82.7645,0
40,18,3,HARD,0,0,1,82.57300000000001,0
41,17,4,HARD,0,0,1,82.581,0
42,16,5,HARD,0,0,1,82.663,0
43,15,6,HARD,0,0,1,82.767,0
44,14,7,HARD,0,0,1,82.221,0
45,13,8,HARD,0,0,1,82.759,0
46,12,9,HARD,0,0,1,81.8815,0
47,11,10,HARD,0,0,1,81.67699999999999,0
48,10,11,HARD,0,0,1,81.583,0
49,9,12,HARD,0,0,1,81.713,0
50,8,13,HARD,0,0,1,81.74,0
51,7,14,HARD,0,0,1,81.976,0
52,6,15,HARD,0,0,1,81.837,0
53,5,16,HARD,0,0,1,81.951,0
54,4,17,HARD,0,0,1,82.06,0
55,3,18,HARD,0,0,1,82.1065,0
56,2,19,HARD,0,0,1,82.229,0
57,1,20,HARD,0,0,1,82.697,0
58,0,21,HARD,0,0,1,82.947,0
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,1
7,51,0,HARD,0,0,1,82.6943275862069,0
8,50,1,HARD,0,0,1,89.8065,0
9,49,2,HARD,0,0,1,82.7645,0
10,48,3,HARD,0,0,1,82.57300000000001,0
11,47,4,HARD,0,0,1,82.581,0
12,46,5,HARD,0,0,1,82.663,0
13,45,6,HARD,0,0,1,82.767,0
14,44,7,HARD,0,0,1,82.221,0
15,43,8,HARD,0,0,1,82.759,0
16,42,9,HARD,0,0,1,81.8815,0
17,41,10,HARD,0,0,1,81.67699999999999,0
18,40,11,HARD,0,0,1,81.583,0
19,39,12,HARD,0,0,1,81.713,0
20,38,13,HARD,0,0,1,81.74,0
21,37,14,HARD,0,0,1,81.976,0
22,36,15,HARD,0,0,1,81.837,0
23,35,16,HARD,0,0,1,81.951,0
24,34,17,HARD,0,0,1,82.06,0
25,33,18,HARD,0,0,1,82.1065,0
26,32,19,HARD,0,0,1,82.229,0
27,31,20,HARD,0,0,1,82.697,0
28,30,21,HARD,0,0,1,82.947,0
29,29,22,HARD,0,0,1,83.007,0
30,28,23,HARD,0,0,1,82.706,0
31,27,24,HARD,0,0,1,82.8035,0
32,26,25,HARD,0,0,1,82.989,0
33,25,26,HARD,0,0,1,83.04599999999999,1
33,25,0,HARD,0,0,1,82.6943275862069,0
34,24,1,HARD,0,0,1,89.8065,0
35,23,2,HARD,0,0,1,82.7645,0
36,22,3,HARD,0,0,1,82.57300000000001,0
37,21,4,HARD,0,0,1,82.581,0
38,20,5,HARD,0,0,1,82.663,0
39,19,6,HARD,0,0,1,82.767,0
40,18,7,HARD,0,0,1,82.221,0
41,17,8,HARD,0,0,1,82.759,0
42,16,9,HARD,0,0,1,81.8815,0
43,15,10,HARD,0,0,1,81.67699999999999,0
44,14,11,HARD,0,0,1,81.583,0
45,13,12,HARD,0,0,1,81.713,0
46,12,13,HARD,0,0,1,81.74,0
47,11,14,HARD,0,0,1,81.976,0
48,10,15,HARD,0,0,1,81.837,0
49,9,16,HARD,0,0,1,81.951,0
50,8,17,HARD,0,0,1,82.06,0
51,7,18,HARD,0,0,1,82.1065,0
52,6,19,HARD,0,0,1,82.229,0
53,5,20,HARD,0,0,1,82.697,0
54,4,21,HARD,0,0,1,82.947,0
55,3,22,HARD,0,0,1,83.007,0
56,2,23,HARD,0,0,1,82.706,0
57,1,24,HARD,0,0,1,82.8035,1
1,57,0,MEDIUM,0,1,0,83.14475,0
2,56,1,MEDIUM,0,1,0,83.953,0
3,55,2,MEDIUM,0,1,0,83.165,0
4,54,3,MEDIUM,0,1,0,83.272,0
5,53,4,MEDIUM,0,1,0,83.31,0
6,52,5,MEDIUM,0,1,0,83.119,0
7,51,6,MEDIUM,0,1,0,82.804,0
8,50,7,MEDIUM,0,1,0,83.019,0
9,49,8,MEDIUM,0,1,0,82.974,1
9,49,0,HARD,0,0,1,82.6943275862069,0
10,48,1,HARD,0,0,1,89.8065,0
11,47,2,HARD,0,0,1,82.7645,0
12,46,3,HARD,0,0,1,82.57300000000001,0
13,45,4,HARD,0,0,1,82.581,0
14,44,5,HARD,0,0,1,82.663,0
15,43,6,HARD,0,0,1,82.767,0
16,42,7,HARD,0,0,1,82.221,0
17,41,8,HARD,0,0,1,82.759,0
18,40,9,HARD,0,0,1,81.8815,0
19,39,10,HARD,0,0,1,81.67699999999999,0
20,38,11,HARD,0,0,1,81.583,0
21,37,12,HARD,0,0,1,81.713,0
22,36,13,HARD,0,0,1,81.74,0
23,35,14,HARD,0,0,1,81.976,0
24,34,15,HARD,0,0,1,81.837,0
25,33,16,HARD,0,0,1,81.951,0
26,32,17,HARD,0,0,1,82.06,0
27,31,18,HARD,0,0,1,82.1065,0
28,30,19,HARD,0,0,1,82.229,0
29,29,20,HARD,0,0,1,82.697,0
30,28,21,HARD,0,0,1,82.947,0
31,27,22,HARD,0,0,1,83.007,0
32,26,23,HARD,0,0,1,82.706,0
33,25,24,HARD,0,0,1,82.8035,0
34,24,25,HARD,0,0,1,82.989,0
